site,date,tl_mm,fl_mm,wt_gm,sex
Mombasa,2019-04-05,184,169,59.5,M
Mombasa,2019-04-05,185,169,54.71,M
Mombasa,2019-04-05,145,134,24.15,M
Mombasa,2019-04-05,189,173,61.36,M
Mombasa,2019-04-05,175,161,49.31,M
Mombasa,2019-04-05,165,153,38.54,M
Mombasa,2019-04-05,181,165,49.68,M
Mombasa,2019-04-05,176,163,45.27,M
Mombasa,2019-04-05,164,148,36.26,M
Mombasa,2019-04-05,154,142,31.92,M
Mombasa,2019-04-05,188,173,57.74,M
Mombasa,2019-04-05,186,173,52.25,M
Mombasa,2019-04-05,179,164,49.74,M
Mombasa,2019-04-05,172,156,44.55,M
Mombasa,2019-04-05,195,178,65.45,M
Mombasa,2019-04-05,210,197,82.79,M
Mombasa,2019-04-05,195,181,65.4,M
Mombasa,2019-04-05,192,174,63.45,M
Mombasa,2019-04-05,166,142,39.87,M
Mombasa,2019-04-05,171,158,38.21,M
Mombasa,2019-04-05,200,184,77.02,M
Mombasa,2019-04-05,183,166,52.08,M
Mombasa,2019-04-05,178,165,48.09,M
Mombasa,2019-04-05,177,163,46.33,M
Mombasa,2019-04-05,173,157,42.15,M
Mombasa,2019-04-05,177,168,44.72,M
Mombasa,2019-04-05,209,190,92.44,M
Mombasa,2019-04-05,178,163,47.45,F
Mombasa,2019-04-05,173,155,40.15,F
Mombasa,2019-04-05,174,160,47.28,F
Mombasa,2019-04-05,175,162,45.84,F
Mombasa,2019-04-05,199,183,71.69,F
Mombasa,2019-04-05,181,167,54.55,F
Mombasa,2019-04-05,190,175,64.24,F
Mombasa,2019-04-05,233,211,133.45,F
Mombasa,2019-04-05,191,180,66.51,F
Mombasa,2019-04-05,167,153,38.86,F
Mombasa,2019-04-05,184,168,55.52,F
Mombasa,2019-04-05,167,153,40.2,F
Mombasa,2019-04-05,152,143,32.56,F
Mombasa,2019-04-05,174,160,45.9,F
Mombasa,2019-04-05,184,166,53.8,F
Mombasa,2019-04-05,173,162,43.47,F
Mombasa,2019-04-05,181,166,54.21,F
Mombasa,2019-04-05,173,158,51.28,F
Mombasa,2019-04-05,190,173,65.53,F
Mombasa,2019-04-05,199,183,65.94,F
Mombasa,2019-04-05,184,172,58.9,F
Mombasa,2019-04-05,201,186,74.91,F
Mombasa,2019-04-05,228,208,124.83,F
Mombasa,2019-04-05,177,164,49.42,F
Mombasa,2019-04-05,183,169,56.12,F
Mombasa,2019-04-05,194,175,61.45,F
Mombasa,2019-04-05,180,166,51.12,F
Mombasa,2019-04-05,167,153,42.32,F
Mombasa,2019-04-05,174,159,43.43,F
Mombasa,2019-04-05,181,168,49.78,F
Mombasa,2019-04-05,154,144,31.33,F
Mombasa,2019-04-05,172,159,42.83,F
Mombasa,2019-04-05,184,168,50.74,F
Mombasa,2019-04-05,171,157,42.99,F
Mombasa,2019-04-05,212,188,90.74,F
Mombasa,2019-04-05,172,158,42.86,F
Mombasa,2019-04-05,202,185,75,F
Mombasa,2019-04-05,180,165,60.22,F
Mombasa,2019-04-05,186,170,55.41,F
Mombasa,2019-04-05,211,194,83.91,F
Mombasa,2019-04-05,175,161,45.15,F
Mombasa,2019-04-05,175,162,44.2,F
Mombasa,2019-04-05,176,163,46.01,F
Mombasa,2019-04-05,202,185,72.01,F
Mombasa,2019-04-05,169,145,41.26,F
Mombasa,2019-04-05,174,163,44.98,F
Mombasa,2019-04-05,170,157,42.93,F
Mombasa,2019-04-05,210,194,77.88,F
Mombasa,2019-04-05,174,162,48.29,F
Mombasa,2019-04-05,196,179,75.48,F
Mombasa,2019-04-05,178,163,46.27,F
Mombasa,2019-04-05,190,175,64.07,F
Mombasa,2019-04-05,201,185,74.63,F
Mombasa,2019-04-05,216,199,109.12,F
Mombasa,2019-04-05,237,218,129.01,F
Mombasa,2019-05-25,204,180,78.52,M
Mombasa,2019-05-25,247,222,154.28,M
Mombasa,2019-05-25,226,188,96.22,M
Mombasa,2019-05-25,218,194,91.01,M
Mombasa,2019-05-25,224,184,93.81,M
Mombasa,2019-05-25,226,183,99.73,M
Mombasa,2019-05-25,191,173,67.39,M
Mombasa,2019-05-25,224,201,96.72,M
Mombasa,2019-05-25,250,225,145.68,M
Mombasa,2019-05-27,209,188,80.55,M
Mombasa,2019-05-27,213,194,87.01,M
Mombasa,2019-05-27,215,194,92.56,M
Mombasa,2019-05-27,217,196,97.03,M
Mombasa,2019-05-27,185,161,55.18,M
Mombasa,2019-05-27,248,220,145.39,M
Mombasa,2019-05-27,216,194,88.25,M
Mombasa,2019-05-27,225,203,103.48,M
Mombasa,2019-05-27,208,187,76.89,M
Mombasa,2019-05-27,216,199,92.64,M
Mombasa,2019-05-27,187,170,58.73,M
Mombasa,2019-05-27,179,161,49.06,M
Mombasa,2019-05-27,200,181,73.58,M
Mombasa,2019-05-27,198,180,74.58,M
Mombasa,2019-05-27,207,186,79.02,M
Mombasa,2019-05-27,209,190,81.29,M
Mombasa,2019-05-27,198,178,62.58,M
Mombasa,2019-05-27,193,175,66.35,M
Mombasa,2019-05-27,196,174,69.08,M
Mombasa,2019-05-27,210,191,82.35,M
Mombasa,2019-05-27,210,189,81.98,M
Mombasa,2019-05-25,243,221,146.34,F
Mombasa,2019-05-25,236,219,124.21,F
Mombasa,2019-05-25,216,198,95.42,F
Mombasa,2019-05-25,241,221,137.73,F
Mombasa,2019-05-25,225,216,123.44,F
Mombasa,2019-05-25,218,196,100.32,F
Mombasa,2019-05-25,206,189,85.35,F
Mombasa,2019-05-25,214,184,72.5,F
Mombasa,2019-05-25,203,184,74.83,F
Mombasa,2019-05-25,209,192,81.14,F
Mombasa,2019-05-25,206,183,76.96,F
Mombasa,2019-05-25,214,191,95.63,F
Mombasa,2019-05-25,218,196,98.89,F
Mombasa,2019-05-25,216,195,87.48,F
Mombasa,2019-05-25,196,179,65.98,F
Mombasa,2019-05-25,219,196,91.51,F
Mombasa,2019-05-25,223,199,104.37,F
Mombasa,2019-05-25,206,182,78.93,F
Mombasa,2019-05-25,208,189,89.83,F
Mombasa,2019-05-25,207,195,91.93,F
Mombasa,2019-05-25,205,183,78.73,F
Mombasa,2019-05-25,213,192,89.2,F
Mombasa,2019-05-27,249,224,137.88,F
Mombasa,2019-05-27,215,191,90.5,F
Mombasa,2019-05-27,209,190,80.91,F
Mombasa,2019-05-27,194,174,66.37,F
Mombasa,2019-05-27,208,188,80.79,F
Mombasa,2019-05-27,189,175,57.51,F
Mombasa,2019-05-27,209,188,81.7,F
Mombasa,2019-05-27,218,196,88.93,F
Mombasa,2019-05-27,198,176,65.83,F
Mombasa,2019-05-27,226,202,95.58,F
Mombasa,2019-05-27,211,190,83.04,F
Mombasa,2019-05-27,199,178,70.07,F
Mombasa,2019-05-27,257,231,163.37,F
Mombasa,2019-05-27,207,190,81.67,F
Mombasa,2019-05-27,228,205,114.14,F
Mombasa,2019-05-27,216,195,97.98,F
Mombasa,2019-05-27,213,190,86.64,F
Mombasa,2019-05-27,199,180,75.51,F
Mombasa,2019-05-27,229,207,105.84,F
Mombasa,2019-05-27,195,175,67,F
Mombasa,2019-05-27,227,209,106.87,F
Mombasa,2019-05-27,199,181,73.9,F
Mombasa,2019-05-27,257,228,143.89,F
Mombasa,2019-05-27,188,170,63.6,F
Mombasa,2019-05-27,195,176,65.12,F
Mombasa,2019-05-27,232,215,127.54,F
Mombasa,2019-05-27,212,194,80.66,F
Mombasa,2019-05-27,180,164,53.82,F
Mombasa,2019-05-27,181,164,52.12,F
Mombasa,2019-05-27,213,191,83.63,F
Mombasa,2019-05-27,211,192,88.54,F
Mombasa,2019-06-02,224,201,105.9,M
Mombasa,2019-06-02,207,187,78.58,M
Mombasa,2019-06-02,236,213,131.95,M
Mombasa,2019-06-02,203,182,75.46,M
Mombasa,2019-06-02,240,214,130,M
Mombasa,2019-06-02,211,183,79.41,M
Mombasa,2019-06-03,210,183,75.16,M
Mombasa,2019-06-03,260,234,170.13,M
Mombasa,2019-06-03,190,172,64.43,M
Mombasa,2019-06-03,222,194,101.72,M
Mombasa,2019-06-03,210,191,89.67,M
Mombasa,2019-06-03,197,178,67.06,M
Mombasa,2019-06-03,196,174,64.34,M
Mombasa,2019-06-03,200,173,64.12,M
Mombasa,2019-06-03,198,175,64.27,M
Mombasa,2019-06-03,247,221,145.34,M
Mombasa,2019-06-03,213,188,83.16,M
Mombasa,2019-06-03,197,179,70.08,M
Mombasa,2019-06-03,220,193,88.45,M
Mombasa,2019-06-03,204,186,84.93,M
Mombasa,2019-06-03,195,179,70.65,M
Mombasa,2019-06-03,180,166,57.44,M
Mombasa,2019-06-03,190,174,62.19,M
Mombasa,2019-06-03,204,185,78.4,M
Mombasa,2019-06-03,212,194,87.74,M
Mombasa,2019-06-03,203,184,73.44,M
Mombasa,2019-06-03,221,203,110.46,M
Mombasa,2019-06-03,185,170,59.54,M
Mombasa,2019-06-03,191,176,64.5,M
Mombasa,2019-06-03,189,174,64.63,M
Mombasa,2019-06-03,205,187,82.77,M
Mombasa,2019-06-03,209,191,85.99,M
Mombasa,2019-06-03,199,182,70.82,M
Mombasa,2019-06-03,201,184,74.23,M
Mombasa,2019-06-03,205,186,86.03,M
Mombasa,2019-06-02,233,210,117.68,F
Mombasa,2019-06-02,208,183,84.03,F
Mombasa,2019-06-02,229,208,119.51,F
Mombasa,2019-06-02,235,209,131.17,F
Mombasa,2019-06-02,236,211,125.91,F
Mombasa,2019-06-02,269,241,194.18,F
Mombasa,2019-06-02,223,201,103.98,F
Mombasa,2019-06-02,229,208,124.05,F
Mombasa,2019-06-02,218,194,96.78,F
Mombasa,2019-06-02,238,212,123.27,F
Mombasa,2019-06-02,224,200,104.82,F
Mombasa,2019-06-02,223,199,116.15,F
Mombasa,2019-06-03,241,214,131.76,F
Mombasa,2019-06-03,207,185,80.82,F
Mombasa,2019-06-03,199,179,71.8,F
Mombasa,2019-06-03,208,189,84.41,F
Mombasa,2019-06-03,206,187,81.56,F
Mombasa,2019-06-03,215,193,95.11,F
Mombasa,2019-06-03,195,172,61.31,F
Mombasa,2019-06-03,204,183,75.03,F
Mombasa,2019-06-03,242,222,140.74,F
Mombasa,2019-06-03,189,172,63,F
Mombasa,2019-06-03,235,212,126.78,F
Mombasa,2019-06-03,206,185,77.01,F
Mombasa,2019-06-03,209,189,82.15,F
Mombasa,2019-06-03,211,191,79.35,F
Mombasa,2019-06-03,204,183,78.99,F
Mombasa,2019-06-03,207,188,88.84,F
Mombasa,2019-06-03,202,185,81.07,F
Mombasa,2019-06-03,205,188,83.33,F
Mombasa,2019-06-03,215,192,90.98,F
Mombasa,2019-06-03,196,178,73.77,F
Mombasa,2019-06-03,209,188,80.99,F
Mombasa,2019-06-03,219,201,102.82,F
Mombasa,2019-06-03,216,195,88.55,F
Mombasa,2019-06-03,229,209,117.07,F
Mombasa,2019-06-03,198,177,69.09,F
Mombasa,2019-06-03,192,176,63.89,F
Mombasa,2019-06-03,214,193,88,F
Mombasa,2019-06-03,188,173,63.47,F
Mombasa,2019-06-03,237,214,127.95,F
Mombasa,2019-06-03,198,180,69.97,F
Mombasa,2019-06-03,194,174,63.47,F
Mombasa,2019-06-03,263,237,179.97,F
Mombasa,2019-06-03,213,192,83.55,F
Mombasa,2019-06-03,193,174,62.06,F
Mombasa,2019-06-03,195,175,65.5,F
Mombasa,2019-07-09,232,211,119.93,M
Mombasa,2019-07-09,194,179,63.98,M
Mombasa,2019-07-09,242,220,131.02,M
Mombasa,2019-07-09,222,203,87.11,M
Mombasa,2019-07-09,204,190,73.55,M
Mombasa,2019-07-09,259,240,168.55,M
Mombasa,2019-07-09,187,174,63.11,M
Mombasa,2019-07-09,206,190,86.02,M
Mombasa,2019-07-09,209,197,95.22,M
Mombasa,2019-07-09,215,200,96.44,M
Mombasa,2019-07-09,213,200,91.45,M
Mombasa,2019-07-09,190,175,54.66,M
Mombasa,2019-07-09,186,172,58.39,M
Mombasa,2019-07-09,165,155,41.34,M
Mombasa,2019-07-09,250,225,139.49,F
Mombasa,2019-07-09,232,212,112.5,F
Mombasa,2019-07-09,245,224,136.14,F
Mombasa,2019-07-09,240,217,135.41,F
Mombasa,2019-07-09,231,211,119.47,F
Mombasa,2019-07-09,250,229,154.24,F
Mombasa,2019-07-09,193,177,64.58,F
Mombasa,2019-07-09,220,201,98.41,F
Mombasa,2019-07-09,242,221,133.44,F
Mombasa,2019-07-09,225,206,115.03,F
Mombasa,2019-07-09,201,185,76.51,F
Mombasa,2019-07-09,254,232,144.07,F
Mombasa,2019-07-09,206,190,95.5,F
Mombasa,2019-07-09,213,194,86.83,F
Mombasa,2019-07-09,235,214,129.65,F
Mombasa,2019-07-09,204,188,79.36,F
Mombasa,2019-07-09,211,194,86.93,F
Mombasa,2019-07-09,260,234,165.74,F
Mombasa,2019-07-09,206,194,85.31,F
Mombasa,2019-07-09,211,191,83.4,F
Mombasa,2019-07-09,204,185,78.19,F
Mombasa,2019-07-09,188,174,59.88,F
Mombasa,2019-07-09,194,178,66.13,F
Mombasa,2019-08-01,226,217,112.14,M
Mombasa,2019-08-01,191,174,60.83,M
Mombasa,2019-08-01,205,190,86.32,M
Mombasa,2019-08-01,210,191,83.34,M
Mombasa,2019-08-01,204,195,86.8,M
Mombasa,2019-08-01,214,198,95.84,M
Mombasa,2019-08-01,202,186,77.48,M
Mombasa,2019-08-01,215,198,89.12,M
Mombasa,2019-08-01,224,207,104.29,M
Mombasa,2019-08-01,212,199,87.3,M
Mombasa,2019-08-01,201,196,89.73,M
Mombasa,2019-08-01,215,203,90,M
Mombasa,2019-08-01,203,197,100.73,M
Mombasa,2019-08-01,210,197,84.23,M
Mombasa,2019-08-01,193,183,70.44,M
Mombasa,2019-08-01,200,185,72.78,M
Mombasa,2019-08-01,215,208,101.19,M
Mombasa,2019-08-01,211,194,81.18,M
Mombasa,2019-08-01,212,203,82.48,M
Mombasa,2019-08-01,196,178,74.32,M
Mombasa,2019-08-01,202,188,76.58,M
Mombasa,2019-08-01,212,192,86.03,F
Mombasa,2019-08-01,206,189,87.15,F
Mombasa,2019-08-01,206,192,91.58,F
Mombasa,2019-08-01,201,184,78.04,F
Mombasa,2019-08-01,218,203,102.64,F
Mombasa,2019-08-01,209,190,82.13,F
Mombasa,2019-08-01,213,194,87.83,F
Mombasa,2019-08-01,225,207,106.11,F
Mombasa,2019-08-01,217,200,94.25,F
Mombasa,2019-08-01,218,195,95.12,F
Mombasa,2019-08-01,211,192,85.19,F
Mombasa,2019-08-01,203,184,75.02,F
Mombasa,2019-08-01,221,204,109.95,F
Mombasa,2019-08-01,218,200,94.01,F
Mombasa,2019-08-01,205,188,81.42,F
Mombasa,2019-08-01,215,198,92.19,F
Mombasa,2019-08-01,218,200,96.82,F
Mombasa,2019-08-01,219,203,101.06,F
Mombasa,2019-08-01,220,200,98.17,F
Mombasa,2019-08-01,223,205,102.55,F
Mombasa,2019-08-01,215,198,94.17,F
Mombasa,2019-08-01,204,190,84.53,F
Mombasa,2019-08-01,194,180,76.93,F
Mombasa,2019-08-01,226,207,111.39,F
Mombasa,2019-08-01,208,190,83.02,F
Mombasa,2019-08-01,215,196,94.6,F
Mombasa,2019-08-01,211,196,92.31,F
Mombasa,2019-08-01,197,180,73.32,F
Mombasa,2019-08-01,217,198,98.11,F
Mombasa,2019-08-01,208,195,82.68,F
Mombasa,2019-08-01,223,204,107.2,F
Mombasa,2019-08-01,208,190,93.41,F
Mombasa,2019-08-01,207,190,85.51,F
Mombasa,2019-08-01,211,205,88.17,F
Mombasa,2019-08-01,215,196,84.97,F
Mombasa,2019-08-01,204,195,91.32,F
Mombasa,2019-08-01,206,198,80.72,F
Mombasa,2019-08-01,214,195,86.47,F
Mombasa,2019-08-01,211,193,80.64,F
Mombasa,2019-08-01,220,202,95.8,F
Mombasa,2019-08-01,220,200,98.96,F
Mombasa,2019-08-01,217,192,84.21,F
Mombasa,2019-08-01,211,192,85.17,F
Mombasa,2019-08-01,223,205,101.4,F
Mombasa,2019-08-01,205,188,79.09,F
Mombasa,2019-08-01,200,184,73.51,F
Mombasa,2019-08-01,204,188,82.35,F
Mombasa,2019-08-01,225,208,108.61,F
Mombasa,2019-08-01,206,190,84.55,F
Mombasa,2019-08-01,214,196,92.89,F
Mombasa,2019-08-01,213,197,87.76,F
Mombasa,2019-08-01,220,202,97.23,F
Mombasa,2019-08-01,216,199,97.64,F
Mombasa,2019-08-01,205,195,90.81,F
Mombasa,2019-08-01,200,185,75.23,F
Mombasa,2019-08-01,202,187,75.36,F
Mombasa,2019-08-01,208,190,83.84,F
Mombasa,2020-02-16,158,146,34.8,M
Mombasa,2020-02-16,175,158,44.53,M
Mombasa,2020-02-16,165,149,38.08,M
Mombasa,2020-02-16,150,138,29.83,M
Mombasa,2020-02-16,153,140,31.52,M
Mombasa,2020-02-16,160,145,37.4,M
Mombasa,2020-02-16,220,196,93.58,M
Mombasa,2020-02-16,160,143,34,M
Mombasa,2020-02-16,197,176,69.08,M
Mombasa,2020-02-16,154,140,31.8,M
Mombasa,2020-02-16,150,134,36.94,M
Mombasa,2020-02-16,180,164,36.12,M
Mombasa,2020-02-16,160,144,52.27,M
Mombasa,2020-02-16,160,142,37.86,M
Mombasa,2020-02-16,188,171,24.53,M
Mombasa,2020-02-16,206,185,57.68,M
Mombasa,2020-02-16,152,137,74.66,M
Mombasa,2020-02-16,182,165,28.5,M
Mombasa,2020-02-16,160,143,24.93,M
Mombasa,2020-02-16,156,142,33.94,M
Mombasa,2020-02-16,193,175,35.64,M
Mombasa,2020-02-16,166,148,57.92,M
Mombasa,2020-02-16,155,140,32.19,M
Mombasa,2020-02-16,153,137,28.5,M
Mombasa,2020-02-16,156,140,28.93,M
Mombasa,2020-02-16,170,150,42.1,M
Mombasa,2020-02-16,162,145,37.8,M
Mombasa,2020-02-16,150,136,27.72,M
Mombasa,2020-02-16,153,138,28.87,M
Mombasa,2020-02-16,200,180,66.53,M
Mombasa,2020-02-16,156,141,31.46,M
Mombasa,2020-02-16,147,132,25.04,M
Mombasa,2020-02-16,156,140,33.5,M
Mombasa,2020-02-16,159,141,35.08,M
Mombasa,2020-02-16,185,165,52.83,M
Mombasa,2020-02-16,151,136,29.88,M
Mombasa,2020-02-16,151,135,26.67,M
Mombasa,2020-02-16,187,163,57.34,M
Mombasa,2020-02-16,159,143,34.24,M
Mombasa,2020-02-16,150,133,27.48,M
Mombasa,2020-02-16,161,143,34.06,M
Mombasa,2020-02-16,157,138,29.97,M
Mombasa,2020-02-18,134,123,18.83,M
Mombasa,2020-02-18,153,140,29.91,M
Mombasa,2020-02-18,144,132,27.41,M
Mombasa,2020-02-18,123,113,15.39,M
Mombasa,2020-02-18,156,142,34.48,M
Mombasa,2020-02-18,127,114,16.47,M
Mombasa,2020-02-18,165,153,42.26,M
Mombasa,2020-02-18,135,124,19.12,M
Mombasa,2020-02-18,168,155,41.82,M
Mombasa,2020-02-18,153,141,28.74,M
Mombasa,2020-02-18,156,144,30.69,M
Mombasa,2020-02-18,154,142,29.37,M
Mombasa,2020-02-18,152,140,31.87,M
Mombasa,2020-02-18,159,146,38,M
Mombasa,2020-02-18,147,136,28.42,M
Mombasa,2020-02-18,127,113,15.18,M
Mombasa,2020-02-18,168,115,43.52,M
Mombasa,2020-02-18,148,136,27.24,M
Mombasa,2020-02-18,149,137,32.11,M
Mombasa,2020-02-18,122,113,13.01,M
Mombasa,2020-02-18,147,135,27.34,M
Mombasa,2020-02-18,122,113,13.36,M
Mombasa,2020-02-18,174,160,55.68,M
Mombasa,2020-02-18,135,124,18.88,M
Mombasa,2020-02-18,175,161,50.89,M
Mombasa,2020-02-18,157,145,34.96,M
Mombasa,2020-02-18,179,164,51.58,M
Mombasa,2020-02-18,142,130,26.19,M
Mombasa,2020-02-18,150,138,29.93,M
Mombasa,2020-02-18,145,134,28.69,M
Mombasa,2020-02-18,153,140,31.68,M
Mombasa,2020-02-18,154,143,36.08,M
Mombasa,2020-02-18,151,138,30.18,M
Mombasa,2020-02-18,159,145,35.42,M
Mombasa,2020-02-18,153,140,30.96,M
Mombasa,2020-02-18,166,153,39.22,M
Mombasa,2020-02-18,155,145,31.08,M
Mombasa,2020-02-18,129,118,17.28,M
Mombasa,2020-02-18,145,133,23.04,M
Mombasa,2020-02-18,132,120,18.25,M
Mombasa,2020-02-18,126,116,14.54,M
Mombasa,2020-02-18,148,137,25.79,M
Mombasa,2020-02-18,152,140,30.95,M
Mombasa,2020-02-18,161,150,37.32,M
Mombasa,2020-02-18,125,114,14.16,M
Mombasa,2020-02-18,151,140,27.73,M
Mombasa,2020-02-18,152,140,28.2,M
Mombasa,2020-02-18,150,137,27.95,M
Mombasa,2020-02-18,131,122,16.19,M
Mombasa,2020-02-18,153,147,33.53,M
Mombasa,2020-02-18,147,136,24.54,M
Mombasa,2020-02-18,151,138,27.21,M
Mombasa,2020-02-18,115,106,10.52,M
Mombasa,2020-02-18,151,142,30.23,M
Mombasa,2020-02-18,151,139,30.27,M
Mombasa,2020-02-18,128,117,15.65,M
Mombasa,2020-02-18,120,113,13.84,M
Mombasa,2020-02-18,159,145,34,M
Mombasa,2020-02-18,149,137,28.63,M
Mombasa,2020-02-18,124,115,15.03,M
Mombasa,2020-02-18,158,145,31.93,M
Mombasa,2020-02-18,125,115,13.3,M
Mombasa,2020-02-18,121,112,13.25,M
Mombasa,2020-02-18,120,115,13.37,M
Mombasa,2020-02-18,174,160,44.29,M
Mombasa,2020-02-18,128,116,16.98,M
Mombasa,2020-02-18,141,130,23.92,M
Mombasa,2020-02-18,118,100,19.62,M
Mombasa,2020-02-18,159,145,34.32,M
Mombasa,2020-02-18,143,132,24.08,M
Mombasa,2020-02-18,152,140,30.02,M
Mombasa,2020-02-18,153,140,29.98,M
Mombasa,2020-02-18,110,102,10.35,M
Mombasa,2020-02-18,126,117,14.14,M
Mombasa,2020-02-18,127,113,14.46,M
Mombasa,2020-02-18,158,143,30,M
Mombasa,2020-02-18,168,153,43.7,M
Mombasa,2020-02-18,160,147,34.47,M
Mombasa,2020-02-18,151,140,30.18,M
Mombasa,2020-02-18,151,141,30.93,M
Mombasa,2020-02-18,152,140,28.95,M
Mombasa,2020-02-18,159,147,33.43,M
Mombasa,2020-02-18,120,110,11.97,M
Mombasa,2020-02-18,122,112,14.31,M
Mombasa,2020-02-18,115,107,11.6,M
Mombasa,2020-02-18,148,137,24.65,M
Mombasa,2020-02-18,156,144,31.65,M
Mombasa,2020-02-18,149,137,28.32,M
Mombasa,2020-02-18,153,140,26.35,M
Mombasa,2020-02-18,130,119,15.19,M
Mombasa,2020-02-18,155,142,29.94,M
Mombasa,2020-02-18,159,147,32.8,M
Mombasa,2020-02-18,121,110,12.86,M
Mombasa,2020-02-18,135,125,18.93,M
Mombasa,2020-02-18,161,158,38.91,M
Mombasa,2020-02-18,120,124,14.43,M
Mombasa,2020-02-18,157,145,35.64,M
Mombasa,2020-02-18,155,144,32.49,M
Mombasa,2020-02-18,151,140,29.75,M
Mombasa,2020-02-18,135,123,18.82,M
Mombasa,2020-02-18,126,117,15.81,M
Mombasa,2020-02-18,155,143,29.89,M
Mombasa,2020-02-18,146,135,25,M
Mombasa,2020-02-18,145,134,23.91,M
Mombasa,2020-02-18,148,135,26.53,M
Mombasa,2020-02-18,158,146,32.96,M
Mombasa,2020-02-18,136,126,18.45,M
Mombasa,2020-02-18,156,143,28.09,M
Mombasa,2020-02-18,117,109,12.49,M
Mombasa,2020-02-18,141,132,22.75,M
Mombasa,2020-02-18,147,135,26.22,M
Mombasa,2020-02-18,142,131,23.92,M
Mombasa,2020-02-18,156,145,33.5,M
Mombasa,2020-02-18,129,118,16.8,M
Mombasa,2020-02-18,161,148,32.4,M
Mombasa,2020-02-19,160,144,36.82,M
Mombasa,2020-02-19,145,130,25.08,M
Mombasa,2020-02-19,162,145,33.43,M
Mombasa,2020-02-19,156,139,34.87,M
Mombasa,2020-02-19,182,164,48.22,M
Mombasa,2020-02-19,175,155,49.4,M
Mombasa,2020-02-19,160,145,36.69,M
Mombasa,2020-02-19,155,142,33.01,M
Mombasa,2020-02-19,152,137,31.67,M
Mombasa,2020-02-19,180,161,51.1,M
Mombasa,2020-02-19,142,125,22.88,M
Mombasa,2020-02-19,160,142,33.97,M
Mombasa,2020-02-19,161,145,37.1,M
Mombasa,2020-02-19,152,137,31.57,M
Mombasa,2020-02-19,168,151,24.22,M
Mombasa,2020-02-19,151,135,43.33,M
Mombasa,2020-02-19,191,172,40.7,M
Mombasa,2020-02-19,163,148,60.95,M
Mombasa,2020-02-19,158,142,39.01,M
Mombasa,2020-02-19,154,136,29.4,M
Mombasa,2020-02-19,162,143,30.66,M
Mombasa,2020-02-19,157,139,41.13,M
Mombasa,2020-02-19,158,141,38.15,M
Mombasa,2020-02-19,175,156,33.83,M
Mombasa,2020-02-19,176,158,48.69,M
Mombasa,2020-02-19,166,149,35.36,M
Mombasa,2020-02-19,155,138,30.81,M
Mombasa,2020-02-19,193,174,66.87,M
Mombasa,2020-02-19,158,144,33.74,M
Mombasa,2020-02-19,180,161,49.28,M
Mombasa,2020-02-19,170,152,41.38,M
Mombasa,2020-02-19,159,144,34.33,M
Mombasa,2020-02-19,170,152,42.5,M
Mombasa,2020-02-19,157,143,32.97,M
Mombasa,2020-02-19,122,110,15.18,M
Mombasa,2020-02-19,152,138,31.7,M
Mombasa,2020-02-19,157,142,31.92,M
Mombasa,2020-02-19,142,128,30.28,M
Mombasa,2020-02-19,172,158,45.4,M
Mombasa,2020-02-19,160,140,35.12,M
Mombasa,2020-02-19,162,141,38.47,M
Mombasa,2020-02-19,150,135,29.22,M
Mombasa,2020-02-19,151,137,37.32,M
Mombasa,2020-02-19,151,138,37.7,M
Mombasa,2020-02-19,162,141,37.91,M
Mombasa,2020-02-19,164,147,33.89,M
Mombasa,2020-02-19,170,154,41.64,M
Mombasa,2020-02-19,166,148,30.85,M
Mombasa,2020-02-19,157,142,30.88,M
Mombasa,2020-02-19,157,143,33,M
Mombasa,2020-02-19,152,138,28.95,M
Mombasa,2020-02-19,160,146,38.37,M
Mombasa,2020-02-19,160,145,38.8,M
Mombasa,2020-02-19,160,144,35.3,M
Mombasa,2020-02-19,149,137,33.17,M
Mombasa,2020-02-19,160,144,35.44,M
Mombasa,2020-02-19,156,142,35.04,M
Mombasa,2020-02-19,139,127,21.78,M
Mombasa,2020-02-19,167,153,41.9,M
Mombasa,2020-02-19,153,140,30.33,M
Mombasa,2020-02-19,154,140,30.63,M
Mombasa,2020-02-19,161,147,34.93,M
Mombasa,2020-02-19,147,132,27.02,M
Mombasa,2020-02-19,160,145,33.53,M
Mombasa,2020-02-19,155,140,32.76,M
Mombasa,2020-02-19,150,137,30.15,M
Mombasa,2020-02-19,150,137,28.38,M
Mombasa,2020-02-19,144,135,30.61,M
Mombasa,2020-02-19,157,143,33.79,M
Mombasa,2020-02-19,160,145,35.89,M
Mombasa,2020-02-19,127,115,17.76,M
Mombasa,2019-02-05,155,138,29.4,M
Mombasa,2019-02-05,152,135,24.05,M
Mombasa,2019-02-05,143,124,19.92,M
Mombasa,2019-02-05,162,142,31.37,M
Mombasa,2019-02-05,159,139,29.04,M
Mombasa,2019-02-05,167,148,31.43,M
Mombasa,2019-02-05,177,158,39.97,M
Mombasa,2019-02-05,149,130,22.31,M
Mombasa,2019-02-05,157,138,30.62,M
Mombasa,2019-02-05,157,137,31.67,M
Mombasa,2019-02-05,156,137,27.63,M
Mombasa,2019-02-05,153,133,26.09,M
Mombasa,2019-02-05,159,138,29.96,M
Mombasa,2019-02-05,163,144,30.23,M
Mombasa,2019-02-05,163,145,28.97,M
Mombasa,2019-02-05,177,157,35.03,M
Mombasa,2019-02-05,159,140,30.29,M
Mombasa,2019-02-05,153,134,23.6,M
